YEAR,MONTH,DAY,AIRLINE,ORIGIN_AIRPORT,DESTINATION_AIRPORT,SCHEDULED_DEPARTURE,DEPARTURE_DELAY,ARRIVAL_DELAY,CANCELLED,CANCELLATION_REASON
2023,7,18,SG,DEL,HYD,1731,13.88,19.57,0,
2023,11,6,SG,SXR,AMD,1307,4.95,6.1,0,
2023,2,21,AI,BLR,BOM,1708,5.67,6.99,0,
2023,12,20,6E,MAA,GOI,2242,16.9,14.23,0,
2023,6,24,6E,BLR,PNQ,1236,11.88,10.52,0,
2023,4,27,6E,MAA,SXR,903,7.9,8.23,0,
2023,2,1,AI,BOM,CCU,918,9.08,7.58,0,
2023,11,17,6E,HYD,BOM,1954,4.76,4.21,0,
2023,7,17,6E,HYD,LKO,536,5.63,6.15,0,
2023,2,3,6E,SXR,MAA,1817,7.54,5.22,0,
2023,7,19,6E,IXC,CCU,1215,9.51,9.71,0,
2023,3,15,AI,BLR,MAA,1419,18.2,19.49,0,
2023,7,23,6E,MAA,LKO,2010,,,1,B
2023,4,3,SG,DEL,AMD,1144,14.14,12.1,0,
2023,5,27,6E,TRV,BOM,2347,6.48,6.99,0,
2023,11,7,6E,BOM,BLR,639,4.45,5.5,0,
2023,3,16,G8,MAA,DEL,1504,23.58,16.71,0,
2023,10,23,AI,BOM,DEL,1759,12.02,8.34,0,
2023,4,18,SG,LKO,BLR,2328,5.96,6.24,0,
2023,5,19,6E,BLR,BOM,654,4.68,3.81,0,
2023,3,10,UK,AMD,GOI,1532,27.06,20.0,0,
2023,8,19,6E,DEL,HYD,2254,12.26,13.03,0,
2023,7,16,6E,HYD,BLR,1136,5.76,8.46,0,
2023,8,24,SG,BLR,BOM,1604,14.96,19.92,0,
2023,6,8,6E,DEL,BOM,2039,15.14,17.4,0,
2023,12,23,6E,MAA,CCU,2018,28.24,25.99,0,
2023,9,28,6E,PNQ,MAA,819,3.48,4.96,0,
2023,6,3,6E,SXR,HYD,701,9.19,12.71,0,
2023,5,18,6E,BOM,LKO,1002,7.88,7.05,0,
2023,7,17,6E,JAI,SXR,2018,,,1,B
2023,6,21,SG,MAA,LKO,1219,12.2,10.56,0,
